news_title,news_p
Премьер Японии напомнил об атомных бомбардировках Хиросимы,"ТОКИО, 12 октября. /ТАСС/. Премьер-министр Японии Сигэру Исиба признался, что никогда не забудет шок от опубликованных США кадров атомной бомбардировки Хиросимы."
Депутат Воронежской облдумы Евгений Гапоненко погиб в ДТП,"В результате ДТП, произошедшего в Воронежской области, погиб депутат областной думы Евгений Гапоненко. Об этом сообщил 12 октября губернатор региона Александр Гусев в Telegram-канале."
"Названы две категории товаров, которые сильно подорожают в ближайшие два месяца","В России наблюдается переизбыток красной икры, из-за сохранившихся запасов с прошлого года, об этом заявили в Рыбном союзе. Возможно ли на этом фоне снижение цены на продукцию и от чего она зависит, разбиралась «Вечерняя Москва»."
На Кубани во дворе дома нашли неразорвавшийся фрагмент беспилотника,"В городе Приморско-Ахтарск в Краснодарском крае во дворе многоквартирного дома нашли фрагмент беспилотника с неразорвавшейся частью, сообщает региональный оперштаб."
В Курской области зафиксировали убийства мирных жителей с особой жестокостью,"КУРСК, 12 октября. /ТАСС/. Военные следователи зафиксировали факты убийств с особой жестокостью жителей Курской области украинскими военными и наемниками. Об этом ТАСС сообщили в военно-следственных органах."
Путин присвоил звание Героя России посмертно Ильдару Суфиярову,"Указом президента России Владимира Путина звание Героя России посмертно присвоено уфимцу Ильдару Суфиярову, подписавшему контракт на службу в зоне специальной военной операции в мае 2023 года и погибшего в апреле 2024 года. Об этом сообщил глава Башкирии Радий Хабиров в своем Telegram-канале."
Джонсон оценил свой вклад в срыв мирных переговоров России и Украины,"Как утверждает в своих мемуарах бывший премьер Британии, он весной 2022 года ездил в Киев не для того, чтобы сорвать мирную сделку, но чтобы заверить Украину в полной поддержке со стороны Лондона."
Татьяна Ким призвала мужа «не спасать ее разборками в стиле 1990-х»,"Бакальчук «своими неразумными действиями в прошлом году вызвал целую серию забастовок», а его «хваленая команда» «обворовала» Wildberries на 37 млрд руб. и поставила под угрозу компанию, заявила основательница маркетплейса."
«Что вы нашли в этом уроде?» 5 главных работ Ролана Быкова,"12 октября 1929 года родился Ролан Быков — советский и российский актер, режиссер и сценарист, народный артист СССР, снявший «Чучело», сыгравший Бармалея и кота Базилио. Но не сыгравший Пушкина."
"СМИ рассказали об оружии, применяемом ВСУ в зоне СВО","МОСКВА, 12 окт — РИА Новости. Украинские военные используют беспилотники, выбрасывающие раскаленный металл, сообщает газета The New York Times."
В результате атаки БПЛА в Краснодарском крае повреждены дома,"МОСКВА, 12 окт — РИА Новости. В двух районах Краснодарского края из-за атаки БПЛА получили повреждения дома и имущество местных жителей, сообщил губернатор Вениамин Кондратьев в Telegram-канале."
